season,episode,episode_no,title,air_date,rating,num_votes,description,directed_by,written_by,total_lines,total_scenes,year,month,day,air_dates_diff_days
4,8,59,The Deposition,2007-11-15,8.7,2574,"Michael is put in an awkward position when Jan sues Dunder Mifflin for wrongful termination and he is deposed as a witness. Meanwhile, Kelly begins smack-talking Pam after Darryl beats Jim at Ping-Pong.",Julian Farino,Lester Lewis,300,46,2007,11,3,49
4,9,60,Dinner Party,2008-04-10,9.4,4824,"Michael invites Jim and Pam and Andy and Angela to a couples-only dinner party, which makes Dwight very jealous. However, the only thing he's missing is a ringside seat to witness Michael and Jan's extremely dysfunctional home life.",Paul Feig,Gene Stupnitsky | Lee Eisenberg,331,31,2008,4,3,196
4,10,61,Chair Model,2008-04-17,8.1,2439,"Kevin and Andy team up to reclaim the stolen Dunder Mifflin parking spaces, which forces them into a showdown with the other four bosses of the office park. Meanwhile, Michael becomes fascinated by a woman modeling chairs in a catalog.",Jeffrey Blitz,B. J. Novak,276,49,2008,4,3,203
4,11,62,Night Out,2008-04-24,8.6,2536,"Michael and Dwight go to New York to party with Ryan, who is having lots of personal and professional problems. The rest of the office employees work late, and wind up getting locked in the business park.",Ken Whittingham,Mindy Kaling,362,51,2008,4,3,210
4,12,63,Did I Stutter?,2008-05-01,8.3,2434,"Michael tries to figure out how to respond to Stanley's insubordination during a meeting, and Dwight buys Andy's vehicle and immediately flips it for more money.",Randall Einhorn,Brent Forrester | Justin Spitzer,308,39,2008,5,3,217
4,13,64,Job Fair,2008-05-08,7.8,2305,"Dunder-Mifflin participates in a high school job fair, but few students are interested. Jim, Andy, and Kevin play a round of golf with a prospective client. Back at the office, everyone but Dwight and Angela leave for the day.",Tucker Gates,Gene Stupnitsky | Lee Eisenberg,252,52,2008,5,3,224
4,14,65,"Goodbye, Toby",2008-05-15,9.3,3453,"Michael throws an extravagant going-away party for Toby, and falls in love with the woman who is replacing him. Jim plans to propose to Pam at the party, but gets out-staged. Back at corporate, Ryan is arrested for fraud.",Paul Feig,Jennifer Celotta | Paul Lieberstein,617,103,2008,5,3,231
5,1,66,Weight Loss,2008-09-25,8.8,2880,"Michael tries to motivate the Scranton branch to lose weight as part of an interoffice competition. Jim is lost after Pam leaves for art school in New York, and Angela continues to see Dwight even though she is now engaged to Andy.",Paul Feig,Gene Stupnitsky | Lee Eisenberg,569,116,2008,9,3,0
5,2,67,Business Ethics,2008-10-09,8.3,2327,A confession at an H.R. business ethics seminar leads to a dispute between Michael and Holly over whether Meredith should be fired. Dwight tries to prove to Jim how long he can go without taking a personal break,Jeffrey Blitz,Ryan Koh,265,30,2008,10,3,14
5,3,68,Baby Shower,2008-10-16,8.0,2292,"After planning an office baby shower for Jan, Michael is upset when he finds out that she had the baby without him--even though he's already been told that he's not the baby's father.",Greg Daniels,Aaron Shure,311,49,2008,10,3,21
5,4,69,Crime Aid,2008-10-23,8.1,2213,"Michael and Holly have sex for the first time, and Michael holds a fund-raiser for the office after it is burglarized. Dwight confides in Phyllis after Andy and Angela set a wedding date, and Jim runs into Pam's ex-fianc̩ Roy.",Jennifer Celotta,Charlie Grandy,311,50,2008,10,3,28
5,5,70,Employee Transfer,2008-10-30,8.1,2289,Holly is transferred back to New Hampshire after corporate discovers that she and Michael are dating. Dwight tries to apply to Cornell to get under Andy's skin. Pam's brothers and Pam decide to play a trick on Jim when they meet for lunch.,David Rogers,Anthony Q. Farrell,435,54,2008,10,3,35
5,6,71,Customer Survey,2008-11-06,8.5,2371,"Dwight and Jim believe that something is suspicious about their low customer performance ratings. After consulting with Angela, Andy finds the perfect site for their wedding--Dwight's beet farm.",Stephen Merchant,Lester Lewis,417,51,2008,11,3,42
5,7,72,Business Trip,2008-11-13,8.2,2201,"David Wallace sends Michael on a business trip to Winnipeg to help him forget about Holly's transfer to Nashua, and Pam tells Jim that she failed a class and has to stay in New York City.",Randall Einhorn,Brent Forrester,325,36,2008,11,3,49
5,8,73,Frame Toby,2008-11-20,8.6,2447,"When Michael discovers that corporate has brought back Toby to replace Holly, he tries to frame him with drugs and to get him fired. Meanwhile, Jim surprises Pam by buying his parents' house, and Pam files a secret complaints about Dwight.",Jason Reitman,Mindy Kaling,298,29,2008,11,3,56
5,9,74,The Surplus,2008-12-04,8.8,2437,"Michael has to spend the office surplus by they end of the day, but he can't decide between a copier or new chairs. Dwight plays a dirty trick on Angela as they prepare for Andy and Angela's wedding on the beet farm.",Paul Feig,Gene Stupnitsky | Lee Eisenberg,323,30,2008,12,3,70
5,10,75,Moroccan Christmas,2008-12-11,8.4,2300,"Phyllis blackmails Angela into doing the work for the Christmas party, which Michael turns into an intervention after Meredith gets drunk and sets her hair on fire. Meanwhile, Dwight corners the market on a popular Christmas gift.",Paul Feig,Justin Spitzer,240,49,2008,12,3,77
5,11,76,The Duel,2009-01-15,8.7,2376,"Moments before he leaves for New York for a meeting with David Wallace, Michael tells Andy that Angela and Dwight are seeing each other. Andy and Dwight then decide to have it out in the parking lot.",Dean Holland,Jennifer Celotta,291,34,2009,1,3,112
5,12,77,Prince Family Paper,2009-01-22,8.0,2298,"Michael's conscience gets the best of him after he and Dwight go undercover to scout a family-run competitor. Back at the office, everyone else spends the day debating whether Hilary Swank is hot.",Asaad Kelada,B. J. Novak,262,27,2009,1,3,119
5,13,78,Stress Relief,2009-02-01,9.7,7058,"Dwight's too-realistic fire alarm gives Stanley a heart attack. When he returns, Michael learns that he is the cause of Stanley's stress. To remedy the situation, he forces the office to throw a roast for him.",Jeffrey Blitz,Paul Lieberstein,416,70,2009,2,6,129
5,14,79,Lecture Circuit: Part 1,2009-02-05,8.2,2169,"While on lecture tour to other Dunder Mifflin branches, Michael and Pam discover that Jim's ex-girlfriend Karen is pregnant. At the office, Andy falls for a prospective client, and Jim and Dwight try to set up Kelly's birthday party.",Ken Kwapis,Mindy Kaling,237,31,2009,2,3,133
5,15,80,Lecture Circuit: Part 2,2009-02-12,8.2,2132,"Michael and Pam go to Nashua and discover that Holly has a new boyfriend. At the office, Jim and Dwight try to come up with a theme for Kelly's birthday party, and Angela gets a new cat.",Ken Kwapis,Mindy Kaling,254,34,2009,2,3,140
5,16,81,Blood Drive,2009-03-05,8.0,2164,"Michael holds a lonely hearts party on Valentine's Day at the office, hoping that he will run into a woman he met earlier that day at a blood drive. Meanwhile, Jim and Pam have an awkward lunch with Phillis and Bob Vance.",Randall Einhorn,Brent Forrester,300,39,2009,3,3,161
5,17,82,Golden Ticket,2009-03-12,8.7,2333,"Michael asks Dwight to be the scapegoat for one of his business ideas that backfired badly on him. But when that idea has an unexpected positive upside, Dwight still takes credit and Michael becomes furious.",Randall Einhorn,Mindy Kaling,311,32,2009,3,3,168
5,18,83,New Boss,2009-03-19,8.3,2194,"Michael gets upset when he gets a new boss to act as a buffer between him and David Wallace, and he gets even more upset when he disbands the Party Planning Committee and cancels Michael's fifteenth anniversary party.",Paul Feig,Gene Stupnitsky | Lee Eisenberg,297,35,2009,3,3,175
5,19,84,Two Weeks,2009-03-26,8.4,2181,"As Michael prepares to leave Dunder Mifflin, he announces that he will form his own paper company. Will anybody join him?",Paul Lieberstein,Aaron Shure,267,46,2009,3,3,182
5,20,85,Dream Team,2009-04-09,8.3,2182,Michael and Pam begin their first day as the Michael Scott Paper Company putting together the rest of the staff and trying to raise money.,Paul Feig,B. J. Novak,309,40,2009,4,3,196
5,21,86,Michael Scott Paper Company,2009-04-09,8.7,2391,"Tension and disillusionment begin to emerge as Michael, Pam, and Ryan move the Michael Scott Paper Company into a cramped ""workspace"" at the business park.",Gene Stupnitsky,Justin Spitzer,256,39,2009,4,3,196
5,22,87,Heavy Competition,2009-04-16,8.7,2250,"Dwight chooses loyalty to Dunder Mifflin over loyalty to Michael, which leads to a bitter battle between Michael and Dwight over Dwight's accounts. Back at Dunder Mifflin, Jim pretends to confide in Andy.",Ken Whittingham,Ryan Koh,298,46,2009,4,3,203
5,23,88,Broke,2009-04-23,9.2,2942,"The Michael Scott Paper Company is gaining clients by offering lower prices than Dunder Mifflin, but is going broke in the process. However, Dunder Mifflin is losing clients to him, and is desperate to buy him out.",Steve Carell,Charlie Grandy,288,32,2009,4,3,210
5,24,89,Casual Friday,2009-04-30,8.3,2162,"Michael returns to Dunder Mifflin and brings Ryan and Pam in as salespeople, but the existing salespeople demand that Michael return the clients they stole back to them. Meanwhile, some employees take the idea of Casual Friday too far.",Brent Forrester,Anthony Q. Farrell,319,35,2009,4,3,217
5,25,90,Cafe Disco,2009-05-07,8.7,2454,"Michael tries to create a place to escape from work in the storage room that used to house the Michael Scott Paper Company, while Jim and Pam consider taking off and getting married that day.",Randall Einhorn,Halsted Sullivan | Warren Lieberstein,298,54,2009,5,3,224
5,26,91,Company Picnic,2009-05-14,9.0,2581,"Michael runs into Holly at the company picnic, and the two of them accidentally reveal that the Buffalo branch is closing during a comedy skit before corporate has made the announcement.",Ken Kwapis,Jennifer Celotta | Paul Lieberstein,273,42,2009,5,3,231
6,1,92,Gossip,2009-09-17,8.8,2504,"Michael regrets revealing that Stanley is having an affair, so he spreads a bunch of lies about everyone else to cover his tracks--except that one of the lies that he spread actually turns out to be true.",Paul Lieberstein,Paul Lieberstein,332,31,2009,9,3,0
6,2,93,The Meeting,2009-09-24,8.1,2057,"Michael sabotages--then promotes--Jim's efforts at getting a promotion, while Dwight and Toby try to prove that Darryl has submitted a fraudulent medical claim.",Randall Einhorn,Aaron Shure,268,34,2009,9,3,7
6,3,94,The Promotion,2009-10-01,8.0,2052,Jim discovers just how hard being the boss can be when David Wallace forces Michael and him to determine which employees will be getting a raise.,Jennifer Celotta,Jennifer Celotta,303,28,2009,10,3,14
6,4,95,Niagara: Part 1 & 2,2009-10-08,9.4,4055,"The Office travels to Niagara Falls to celebrate Jim and Pam's wedding under strict orders not to mention Pam's pregnancy. Michael, Dwight, and Andy all want to hook up with guests at the wedding and Michael and Dwight meet twins. Pam is forced to deal with an embarrassing injury for Andy the night before her wedding, while Kevin deals with the loss of his dress shoes on the morning of the ceremony.",Paul Feig,Greg Daniels | Mindy Kaling,552,78,2009,10,3,21
6,5,96,Mafia,2009-10-15,7.6,2156,Michael meets with an insurance salesman that visits the office and is later convinced by Dwight and Andy that he is part of the mafia.,David Rogers,Brent Forrester,353,32,2009,10,3,28
6,6,97,The Lover,2009-10-22,8.6,2262,"Jim and Pam return from their honeymoon and learn, to their horror, that Michael is dating Pam's mom. Meanwhile, Dwight gives Jim a ""gift""--which actually has a listening device attached to it.",Lee Eisenberg,Gene Stupnitsky | Lee Eisenberg,315,31,2009,10,3,35
6,7,98,Koi Pond,2009-10-29,8.2,2047,"Michael is upset when he becomes the butt of all the office jokes after he falls in a koi pond. Andy and Pam go out together on some cold calls, and everybody mistakes them as a married couple.",Reggie Hudlin,Halsted Sullivan | Warren Lieberstein,319,39,2009,10,3,42
6,8,99,Double Date,2009-11-05,8.1,2018,"Michael sparks more anger from Pam when he breaks up with her mom on her birthday after he finds out she's 58, and Dwight unsuccessfully tries to get everyone in the office to owe him a favor.",Seth Gordon,Charlie Grandy,367,44,2009,11,3,49
6,9,100,Murder,2009-11-12,8.6,2385,"The entire office is preoccupied about rumors of Dunder Mifflin's bankruptcy. Michael tries to create a distraction by engaging everyone in murder-mystery game, but Jim wonders if that is a good idea.",Greg Daniels,Daniel Chun,247,51,2009,11,3,56
6,10,101,Shareholder Meeting,2009-11-19,8.2,2034,"Michael speaks out of line at the Dunder Mifflin shareholders meeting and creates a big problem for management, while Jim discovers that nobody in the office thinks he's the ""real"" boss.",Charles McDougall,Justin Spitzer,267,50,2009,11,3,63
6,11,102,Scott's Tots,2009-12-03,8.3,2345,"Ten years ago, Michael promised a group of third graders he would pay for their college tuition if they graduated. Now comes time to pay, and he can't do it. At the office, Dwight's employee of the month idea gets Jim in big trouble.",B. J. Novak,Gene Stupnitsky | Lee Eisenberg,265,37,2009,12,3,77
6,12,103,Secret Santa,2009-12-10,8.5,2162,"Michael gets upset when Jim promises Phyllis that she can be the office Santa, but the office Christmas party may be overshadowed by some bad news from David Wallace.",Randall Einhorn,Mindy Kaling,334,45,2009,12,3,84
6,13,104,The Banker,2010-01-21,6.8,2665,A banker representing a potential buyer comes to the Scranton branch to interview the H.R. department before the sale goes through.,Jeffrey Blitz,Jason Kessler,131,21,2010,1,3,126
6,14,105,Sabre,2010-02-04,7.7,1963,"Michael hates the changes that Dunder Mifflin's new owner is implementing, so he turns to David Wallace for advice. Jim and Pam find the perfect day care center, but Jim's mistake threatens to ruin the interview.",John Krasinski,Jennifer Celotta,264,42,2010,2,3,140
6,15,106,Manager and Salesman,2010-02-11,8.1,1942,"Sabre's CEO wants the Scranton branch to have one manager, and Michael voluntarily steps down and lets Jim become the boss when he finds out that salespeople make more money. However, he soon comes to regret the decision.",Marc Webb,Mindy Kaling,295,43,2010,2,3,147
6,16,107,The Delivery: Part 1 & 2,2010-03-04,8.4,2065,"Pam goes into labor and Jim is ready to take her to the hospital, but she refuses to go. Meanwhile, inspired by Pam and Jim's baby, Dwight and Angela try to reach a ""business agreement"" to have a baby of their own. After the baby is born, Pam has trouble getting the baby to breastfeed. At the office, Michael takes credit for hooking Jim and Pam up, and tries to do the same thing for Kevin and Erin, making Andy jealous.",Seth Gordon,Daniel Chun,625,70,2010,3,3,168
6,17,108,St. Patrick's Day,2010-03-11,7.7,1922,"It's St. Patrick's Day, and the CEO forces the office to work late because she won't leave. In addition, Michael unsuccessfully tries to suck up to his new boss, and Andy and Erin's first date is delayed because Erin is sick.",Randall Einhorn,Jonathan Hughes,279,45,2010,3,3,175
